game_id,home_team,away_team,bookmaker,spread_home,spread_away,price_home,price_away,commence_time,last_update
9010f7d8f26d5880c63b67355800f997,Golden State Warriors,Dallas Mavericks,BetOnline.ag,-4.0,4.0,-110,-110,2025-12-25T22:00:00Z,2025-10-06T02:15:32Z
9010f7d8f26d5880c63b67355800f997,Golden State Warriors,Dallas Mavericks,MyBookie.ag,-4.5,4.5,-110,-110,2025-12-25T22:00:00Z,2025-10-06T02:15:34Z
9010f7d8f26d5880c63b67355800f997,Golden State Warriors,Dallas Mavericks,BetRivers,-4.5,4.5,-114,-112,2025-12-25T22:00:00Z,2025-10-06T02:15:50Z
d54afb5b752a199f93e39afc2b39d091,Los Angeles Lakers,Houston Rockets,DraftKings,-2.5,2.5,-112,-108,2025-12-26T01:00:00Z,2025-10-06T02:15:41Z
d54afb5b752a199f93e39afc2b39d091,Los Angeles Lakers,Houston Rockets,FanDuel,-2.5,2.5,-110,-110,2025-12-26T01:00:00Z,2025-10-06T02:14:06Z
d54afb5b752a199f93e39afc2b39d091,Los Angeles Lakers,Houston Rockets,LowVig.ag,-1.5,1.5,-101,-111,2025-12-26T01:00:00Z,2025-10-06T02:15:32Z
d54afb5b752a199f93e39afc2b39d091,Los Angeles Lakers,Houston Rockets,Bovada,-2.5,2.5,-110,-110,2025-12-26T01:00:00Z,2025-10-06T02:15:01Z
d54afb5b752a199f93e39afc2b39d091,Los Angeles Lakers,Houston Rockets,BetOnline.ag,-1.5,1.5,-105,-115,2025-12-26T01:00:00Z,2025-10-06T02:15:32Z
d54afb5b752a199f93e39afc2b39d091,Los Angeles Lakers,Houston Rockets,MyBookie.ag,-2.5,2.5,-110,-110,2025-12-26T01:00:00Z,2025-10-06T02:15:34Z
6b9d46fb1b22af30b771b5f6b8a4c6f8,Denver Nuggets,Minnesota Timberwolves,DraftKings,-5.0,5.0,-115,-105,2025-12-26T03:30:00Z,2025-10-06T02:15:41Z
6b9d46fb1b22af30b771b5f6b8a4c6f8,Denver Nuggets,Minnesota Timberwolves,FanDuel,-4.5,4.5,-108,-112,2025-12-26T03:30:00Z,2025-10-06T02:14:06Z
6b9d46fb1b22af30b771b5f6b8a4c6f8,Denver Nuggets,Minnesota Timberwolves,LowVig.ag,-4.5,4.5,-111,-101,2025-12-26T03:30:00Z,2025-10-06T02:15:32Z
6b9d46fb1b22af30b771b5f6b8a4c6f8,Denver Nuggets,Minnesota Timberwolves,Bovada,-4.5,4.5,-110,-110,2025-12-26T03:30:00Z,2025-10-06T02:15:01Z
6b9d46fb1b22af30b771b5f6b8a4c6f8,Denver Nuggets,Minnesota Timberwolves,BetOnline.ag,-4.5,4.5,-115,-105,2025-12-26T03:30:00Z,2025-10-06T02:15:32Z
6b9d46fb1b22af30b771b5f6b8a4c6f8,Denver Nuggets,Minnesota Timberwolves,MyBookie.ag,-4.5,4.5,-110,-110,2025-12-26T03:30:00Z,2025-10-06T02:15:34Z
6b9d46fb1b22af30b771b5f6b8a4c6f8,Denver Nuggets,Minnesota Timberwolves,BetRivers,-4.5,4.5,-109,-115,2025-12-26T03:30:00Z,2025-10-06T02:15:50Z
60b04efecd19028a2eb20c81649abaf1,Atlanta Hawks,Milwaukee Bucks,DraftKings,-5.0,5.0,-110,-110,2026-01-19T18:00:00Z,2025-10-06T02:15:41Z
d9b1ce3cf25e2645fdb24e89d4f1a38e,Cleveland Cavaliers,Oklahoma City Thunder,DraftKings,-1.0,1.0,-105,-115,2026-01-19T19:30:00Z,2025-10-06T02:15:41Z
e7f04ed48f026208a6d078b5b3bc118b,New York Knicks,Dallas Mavericks,DraftKings,-6.0,6.0,-110,-110,2026-01-19T22:00:00Z,2025-10-06T02:15:41Z
df230babfc6ef1362f740fbb16136e77,Detroit Pistons,Boston Celtics,DraftKings,-4.5,4.5,-110,-110,2026-01-20T01:00:00Z,2025-10-06T02:15:41Z
